Estado,Suítes,Cortesia,CAT 1,CAT 3,CAT 2,CAT 4,Total
pr,2902,10530,40606,15912,28826,11201,109977
mg,3010,9138,52558,11308,21635,8744,106393
ba,1762,7787,56355,10321,18438,7887,102550
df,10781,11167,80781,16658,25560,10600,155547
sp,5778,21495,60666,19532,38070,9590,155131
am,6089,9559,41871,11509,21590,11558,102176
ce,2055,6710,44324,18312,24458,7702,103561
mt,1714,6460,33053,15163,4426,7498,68314
pa,6445,12777,43417,11481,15545,7833,97498
pe,3920,8044,55453,20040,15584,16295,119336
rn,10895,13253,33956,20280,12969,11992,103345
rj,4268,6459,65298,14353,26970,10062,127410
